Player Name,Club Name,Total,Short,Medium,Long,,Expected,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast
Victor Boniface,Leverkusen,ng NGA,FW,22,23.3,4902,486,1004,205,260,78.8,110,15,0,44,29,51.7,Matches
Patrik Schick,Leverkusen,cz CZE,"FW,MF",27,17.3,2947,303,407,169,202,83.7,54,7,0,23,7,85.7,Matches
Matej Kovar,Leverkusen,cz CZE,GK,23,17.0,7981,412,5424,116,117,99.1,168,0,0,0,123,60.2,Matches
Nathan Tella,Leverkusen,ng NGA,"DF,FW",24,16.4,6095,544,1484,264,297,88.9,132,28,8,43,34,47.1,Matches
Adam Hložek,Leverkusen,cz CZE,"FW,MF",21,11.3,3099,271,596,126,140,90.0,60,6,1,31,22,59.1,Matches
Borja Iglesias,Leverkusen,es ESP,FW,30,4.7,1147,111,171,53,62,85.5,25,6,0,9,3,100.0,Matches
Gustavo Puerta,Leverkusen,co COL,MF,20,2.6,2954,222,524,110,116,94.8,79,1,0,11,13,61.5,Matches
Arthur,Leverkusen,br BRA,DF,20,2.3,1360,109,367,53,58,91.4,28,6,5,7,8,75.0,Matches
Nadiem Amiri,Leverkusen,de GER,MF,26,1.7,1039,100,238,70,72,97.2,17,2,0,6,1,100.0,Matches
Noah Mbamba,Leverkusen,be BEL,FW,18,1.2,471,38,172,18,18,100.0,12,1,1,5,2,50.0,Matches
Niklas Lomb,Leverkusen,de GER,GK,30,1.0,442,25,274,9,9,100.0,11,0,0,0,5,40.0,Matches
Ken Izekor,Leverkusen,de GER,DF,16,0.2,51,6,11,3,3,100.0,1,0,0,0,0,,Matches
Ayman Aourir,Leverkusen,de GER,MF,18,0.0,7,1,0,1,1,100.0,0,0,0,0,0,,Matches
Federico Valverde,Real Madrid,uy URU,"MF,FW",25,47.5,37667,2739,10059,1427,1506,94.8,789,51,4,297,243,69.1,Matches
Antonio Rüdiger,Real Madrid,de GER,DF,30,45.3,40913,2471,15230,862,903,95.5,1157,13,2,115,308,59.7,Matches
Rodrygo,Real Madrid,br BRA,FW,22,40.9,14362,1379,2736,875,931,94.0,236,54,6,118,46,56.5,Matches
Jude Bellingham,Real Madrid,eng ENG,"MF,FW",20,40.3,27112,2130,5648,1180,1278,92.3,542,55,5,265,124,81.5,Matches
Dani Carvajal,Real Madrid,es ESP,DF,31,37.2,26894,1975,6324,879,971,90.5,663,33,6,107,156,68.6,Matches
Toni Kroos,Real Madrid,de GER,MF,33,35.2,58094,3436,21495,1478,1523,97.0,1152,31,6,368,599,76.3,Matches
Nacho,Real Madrid,es ESP,DF,33,34.8,29703,1942,11613,870,900,96.7,829,4,1,75,136,66.2,Matches
Vinicius Júnior,Real Madrid,br BRA,FW,23,34.1,10328,992,1933,460,540,85.2,164,30,3,82,100,55.0,Matches
Andriy Lunin,Real Madrid,ua UKR,GK,24,31.7,17765,924,11170,187,189,98.9,431,0,0,0,289,53.6,Matches
Ferland Mendy,Real Madrid,fr FRA,DF,28,31.4,22121,1735,6482,1013,1045,96.9,489,13,2,120,71,80.3,Matches
Eduardo Camavinga,Real Madrid,fr FRA,MF,20,31.3,26950,1836,6725,818,864,94.7,700,20,4,148,138,75.4,Matches
Aurélien Tchouaméni,Real Madrid,fr FRA,"MF,DF",23,31.2,29297,1937,9546,847,894,94.7,787,15,5,146,142,72.5,Matches
Luka Modrić,Real Madrid,hr CRO,MF,37,25.0,29451,2097,9154,990,1046,94.6,574,55,5,243,285,65.3,Matches
Joselu,Real Madrid,es ESP,FW,33,23.6,3937,442,572,208,274,75.9,74,4,0,22,12,75.0,Matches
Brahim Díaz,Real Madrid,ma MAR,"MF,FW",23,23.0,9395,888,2209,509,553,92.0,159,44,9,93,50,56.0,Matches
Lucas Vázquez,Real Madrid,es ESP,DF,32,19.9,17445,1412,4254,717,777,92.3,413,38,11,72,98,46.9,Matches
Kepa Arrizabalaga,Real Madrid,es ESP,GK,28,19.6,11971,598,7857,120,121,99.2,294,0,0,0,180,55.6,Matches
Fran Garcia,Real Madrid,es ESP,DF,23,18.8,14461,1181,4026,620,660,93.9,333,17,8,70,73,45.2,Matches
David Alaba,Real Madrid,at AUT,DF,31,15.6,15984,1116,5921,547,565,96.8,374,8,2,57,105,56.2,Matches
Dani Ceballos,Real Madrid,es ESP,MF,26,9.7,8926,685,2127,378,400,94.5,173,9,1,57,51,74.5,Matches
Éder Militão,Real Madrid,br BRA,DF,25,5.7,5616,334,1964,112,116,96.6,158,0,0,15,41,68.3,Matches
Arda Güler,Real Madrid,tr TUR,MF,18,4.9,2640,218,611,115,121,95.0,50,6,0,17,21,47.6,Matches
Thibaut Courtois,Real Madrid,be BEL,GK,31,4.7,3004,146,2066,30,30,100.0,76,0,0,0,39,64.1,Matches
Nicolás Paz,Real Madrid,ar ARG,MF,18,1.5,511,50,123,25,29,86.2,12,1,0,8,3,33.3,Matches
Álvaro Carrillo,Real Madrid,es ESP,DF,21,1.0,,,,,,,,,,,,,Matches
