Player Name,Club Name,Country,Position,PostShotExpectedGoals/90min,90s,GoalsAgainst,PKAgainst,FKGoalsAgainst,CornerKickGoalsAgainst,OwnGoalsScoredAgainst,PostShotExpectedGoals,PostShotExpectedGoals/ShotOnTarget,PostShotExpectedGoals/90min,90s,LongPassesCompleted,LongPassesAttempted,LongPassesCompleted%,ShortPassesAttempted,ThrowsAttempted,Launch%,AveragePassLength,GKAttempted,/90,Cmp,CrossesStopped,CrossesStopped%,DefenseOutsidePenalyArea,DefenseOutsidePenalyArea/90min,AvgDistanceofDefenseOutsidePenalyArea,MatchesPlayed,MatchesStarted,Minutes,90s(MinutesPlayed/90s),GoalsAgainst,GoalsAgainst/90,ShotsOnTargetAgainst,Saves,Save%,Wins,Draws,Losses,CleanSheats,CleanSheats%,PKAttempted,PKAllowed,PKSaved,PKMissed,PKSave%
Philipp Köhn,Monaco,SUI,GK,25,22,32,5,1,6,1,32,0.27,1,0.05,82,249,32.9,536,91,32.5,32.1,130,57.7,43.5,22,7.8,19,0.86,11.3,22,22,"1,980",22,32,1.45,97,65,72.2,11,5,6,5,22.7,6,5,1,0,16.7
Radosław Majecki,Monaco,POL,GK,23,15.3,14,0,0,0,1,14.7,0.29,5.7,0.47,39,121,32.2,296,68,31.1,32,80,36.3,33.4,13,8.1,7,0.58,11,15,15,"1,380",15.3,14,0.91,63,53,77.8,10,4,1,7,46.7,4,0,4,0,100
Janis Blaswich,RB Leipzig,GER,GK,32,27,39,4,0,7,1,33.3,0.3,-4.7,-0.18,83,200,41.5,1022,106,15.4,26.1,175,24.6,30,16,5.2,42,1.62,17.8,27,27,"2,430",27,39,1.44,102,64,65.7,14,4,9,6,22.2,4,4,0,0,0
Péter Gulácsi,RB Leipzig,HUN,GK,33,18,15,0,1,1,1,12.9,0.26,1.9,0.12,22,88,25,453,67,11.9,24.9,119,28.6,31.2,7,3.4,17,1.06,15.6,18,18,"1,620",18,15,0.83,62,48,75.8,11,5,2,5,27.8,1,0,0,1,
Wojciech Szczęsny,Juventus,POL,GK,33,35,30,2,0,4,2,28.3,0.24,0.3,0.01,147,340,43.2,828,134,32,32.8,174,43.1,40.2,26,4.7,20,0.57,11.6,35,35,"3,150",35,30,0.86,108,79,74.1,17,13,5,15,42.9,3,2,1,0,33.3
Mattia Perin,Juventus,ITA,GK,30,7.5,4,0,0,0,0,1.2,0.25,0.2,0.1,5,15,33.3,54,9,25.9,29.4,12,8.3,19.5,2,6.9,3,1.2,16.7,8,8,675,7.5,4,0.53,16,11,75,6,1,1,4,50,0,0,0,0,
Carlo Pinsoglio,Juventus,ITA,GK,33,0.5,0,0,0,0,0,0.5,0.18,0.5,1.06,2,5,40,21,1,23.8,31.4,0,,,0,0,0,0,5,1,0,45,0.5,0,0,3,3,100,0,0,0,1,,0,0,0,0,
Gregor Kobel,Dortmund,SUI,GK,25,41.3,47,6,0,10,2,52.5,0.27,10.5,0.27,170,409,41.6,1387,144,21.6,28.8,246,44.3,39.5,13,2.4,18,0.47,11.4,42,42,"3,715",41.3,47,1.14,183,136,77.6,23,10,9,14,33.3,8,6,2,0,25
Alexander Meyer,Dortmund,GER,GK,32,8.7,10,1,0,0,1,9,0.27,0,0,33,94,35.1,376,34,20.5,28.5,39,43.6,41.6,10,7.9,7,0.8,13.9,9,8,785,8.7,10,1.15,31,22,71,4,2,2,3,37.5,1,1,0,0,0
Marco Carnesecchi,Atalanta,ITA,GK,23,31.9,34,4,0,2,0,30.5,0.23,-0.7,-0.03,124,356,34.8,715,151,30.6,33.8,200,68.5,52.1,22,6.3,39,1.4,14.6,32,32,"2,868",31.9,34,1.1,124,88,75.4,18,5,9,8,25.8,7,4,2,1,33.3
