Player Name,Club Name,Minutes%,Position,GoalsAllowedByTeamInHisPresence,GoalsScoredByTeamInHisPresence-GoalsScoredByTeamInHisAbsence,MinutesPlayed,MinutesPlayed/Match,Player,GamesStarted,MinutesStarted/Match,MatchesCompleted,SubstitueAppearances,Minutes/Substitution,GameAsUnusedSub,TeamPointsPerMatch,GoalsScoredByTeamInHisPresence,GoalsScored-GoalsAllowed,GoalsScored-GoalsAllowed/90,xGOfTeamScoring,xGOfTeamConceding,xGOfTeamScoring-xGOfTeamConceding,xGOfTeamScoring-xGOfTeamConceding/90,xGOfTeamScoringWithHim-xGOfTeamScoringWithoutHim/90,+/-,+/-90
Arthur,Leverkusen,4.3,DF,1,+2.41,206,41,2.3,2,75,1,3,19,9,3.00,11,+10,+4.37,6.1,1.8,+4.3,+2.09,+0.86,Matches,
Nadiem Amiri,Leverkusen,4.1,MF,2,-2.19,149,17,1.7,2,65,0,7,3,13,2.56,2,0,0.00,2.3,0.7,+1.6,+1.62,+0.34,Matches,
Noah Mbamba,Leverkusen,2.3,FW,1,+2.29,108,18,1.2,0,,0,6,18,18,3.00,6,+5,+4.17,2.3,0.9,+1.4,+1.34,+0.15,Matches,
Niklas Lomb,Leverkusen,2.1,GK,1,+2.83,90,90,1.0,1,90,1,0,,14,3.00,5,+4,+4.00,1.6,0.5,+1.2,+1.19,+0.25,Matches,
Ken Izekor,Leverkusen,0.3,DF,0,-1.40,14,14,0.2,0,,0,1,14,3,3.00,0,0,0.00,0.2,0.2,0.0,+0.02,-0.95,Matches,
Ayman Aourir,Leverkusen,0.2,MF,0,-1.39,3,3,0.0,0,,0,1,3,3,3.00,0,0,0.00,0.0,0.5,-0.5,-15.17,-16.17,Matches,
Timothy Fosu-Mensah,Leverkusen,,DF,,,,,,0,,0,0,,9,,,,,,,,,,Matches,
Reno Münz,Leverkusen,,DF,,,,,,0,,0,0,,2,,,,,,,,,,Matches,
Francis Onyeka,Leverkusen,,FW,,,,,,0,,0,0,,2,,,,,,,,,,Matches,
Patrick Pentz,Leverkusen,,GK,,,,,,0,,0,0,,1,,,,,,,,,,Matches,
Federico Valverde,Real Madrid,84.7,"MF,FW",43,-0.27,"4,271",79,47.5,48,86,31,6,23,1,2.45,108,+65,+1.37,80.5,46.9,+33.6,+0.77,-0.21,Matches,
Antonio Rüdiger,Real Madrid,80.9,DF,45,-0.80,"4,079",85,45.3,44,91,42,4,24,2,2.46,102,+57,+1.26,75.4,43.3,+32.2,+0.78,-0.10,Matches,
Rodrygo,Real Madrid,73.1,FW,41,-1.34,"3,683",72,40.9,43,81,11,8,25,3,2.41,84,+43,+1.05,67.4,39.0,+28.4,+0.75,-0.17,Matches,
Jude Bellingham,Real Madrid,72.0,"MF,FW",39,-0.43,"3,629",86,40.3,41,88,25,1,25,6,2.38,91,+52,+1.29,65.9,37.8,+28.1,+0.77,-0.09,Matches,
Dani Carvajal,Real Madrid,66.4,DF,32,+0.04,"3,347",82,37.2,37,89,29,4,10,6,2.49,85,+53,+1.43,58.1,35.1,+23.0,+0.69,-0.33,Matches,
