Player Name,Club Name,Country,Position,Age,90s,Goals,Shots,ShotsOnTarget,ShotsOnTarget%,Shots/90min,ShotsOnTarget/90min,Goals/Shot,Goals/ShotOnTarget,AverageShotDistance,ShotsfromFreeKicks,PKMade,TotalPK,ExpectedGoal,NonPenaltyExpectedGoals,NonPenaltyExpectedGoals/shot,Goals-XG,NonPenaltyGoals-NonPenaltyXG,npxG
Reinildo Mandava,Atlético Madrid,MOZ,DF,29,9.3,2,5,3,60.0,0.54,0.32,0.40,0.67,10.4,0,0,0,0.9,0.9,0.17,+1.1,+1.1,Matches
Gabriel Paulista,Atlético Madrid,BRA,DF,32,4.5,0,1,1,100.0,0.22,0.22,0.00,0.00,4.7,0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches
Javi Galán,Atlético Madrid,ESP,DF,28,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yannick Carrasco,Atlético Madrid,BEL,DF,29,2.5,0,2,1,50.0,0.81,0.41,0.00,0.00,21.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Çağlar Söyüncü,Atlético Madrid,TUR,DF,27,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Thomas Lemar,Atlético Madrid,FRA,MF,27,1.8,0,2,0,0.0,1.10,0.00,0.00,,23.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Arthur Vermeeren,Atlético Madrid,BEL,MF,18,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Salim El Jebari,Atlético Madrid,MAR,MF,19,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Abdellah Raihani,Atlético Madrid,MAR,FW,19,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ilias Kostis,Atlético Madrid,GRE,FW,20,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Theo Hernández,Milan,FRA,DF,25,45.0,5,72,18,25.0,1.60,0.40,0.06,0.22,21.3,3,1,2,5.9,4.3,0.06,-0.9,-0.3,Matches
Tijjani Reijnders,Milan,NED,MF,25,42.9,4,60,16,26.7,1.40,0.37,0.07,0.25,20.7,0,0,0,3.9,3.9,0.07,+0.1,+0.1,Matches
Mike Maignan,Milan,FRA,GK,28,41.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Christian Pulisic,Milan,USA,FW,24,39.9,15,87,41,47.1,2.18,1.03,0.17,0.37,15.7,1,0,0,11.1,11.1,0.13,+3.9,+3.9,Matches
Rafael Leão,Milan,POR,FW,24,39.2,15,105,39,37.1,2.68,0.99,0.14,0.38,16.5,0,0,0,14.0,14.0,0.14,-1.0,-1.0,Matches
