,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
4.9,MF,18,12,5,444,6,0,6,6,0,0,1,0,0.34,0.37,Matches,1.6,16,17,25,1.22,0.00,1.22,1.22,1.22,0.34,0.03,0.37
4.7,GK,31,5,5,422,0,0,0,0,0,0,0,0,0.00,0.02,Matches,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02
1.5,MF,18,8,1,133,1,0,1,1,0,0,0,0,0.13,0.13,Matches,0.1,5,8,5,0.68,0.00,0.68,0.68,0.68,0.13,0.00,0.13
1.0,DF,21,1,1,90,0,0,0,0,0,0,0,0,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,,
0.9,DF,19,1,1,79,0,0,0,0,0,0,0,0,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,,
0.4,MF,19,3,0,39,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.2,MF,19,2,0,19,0,0,0,0,0,0,0,0,0.16,0.16,Matches,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16
0.1,FW,19,2,0,12,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,GK,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,21,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,27,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,21,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,21,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,24,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
43.3,GK,34,43,43,"3,900",0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38.9,MF,34,46,44,"3,503",2,9,11,2,0,0,6,0,0.11,0.24,Matches,8.8,105,218,141,0.05,0.23,0.28,0.05,0.28,0.11,0.13,0.24
38.8,MF,26,48,40,"3,488",2,4,6,2,0,0,10,0,0.16,0.30,Matches,11.1,78,324,168,0.05,0.10,0.15,0.05,0.15,0.16,0.14,0.30
38.3,FW,25,44,39,"3,448",27,4,31,24,3,5,8,0,0.56,0.68,Matches,23.8,65,98,210,0.70,0.10,0.81,0.63,0.73,0.65,0.12,0.77
37.2,FW,25,46,41,"3,344",15,7,22,15,0,0,3,0,0.45,0.58,Matches,20.4,85,59,218,0.40,0.19,0.59,0.40,0.59,0.45,0.13,0.58
35.9,MF,29,40,40,"3,235",15,3,18,3,12,12,9,0,0.08,0.26,Matches,8.8,54,217,45,0.42,0.08,0.50,0.08,0.17,0.33,0.18,0.52
34.6,"DF,FW",33,43,34,"3,111",2,1,3,2,0,0,3,0,0.04,0.10,Matches,3.2,23,84,108,0.06,0.03,0.09,0.06,0.09,0.04,0.06,0.10
34.6,DF,35,38,33,"3,111",3,2,5,3,0,0,2,0,0.06,0.12,Matches,3.9,26,109,29,0.09,0.06,0.14,0.09,0.14,0.06,0.07,0.12
32.3,DF,24,37,36,"2,907",1,3,4,1,0,0,5,0,0.05,0.17,Matches,5.3,69,165,86,0.03,0.09,0.12,0.03,0.12,0.05,0.12,0.17
29.5,DF,25,40,35,"2,657",6,8,14,6,0,0,0,0,0.12,0.46,Matches,12.5,65,112,231,0.20,0.27,0.47,0.20,0.47,0.13,0.35,0.47
26.3,DF,27,31,28,"2,363",0,3,3,0,0,0,7,0,0.03,0.09,Matches,2.2,30,109,59,0.00,0.11,0.11,0.00,0.11,0.03,0.06,0.09
26.1,"DF,FW",24,46,20,"2,349",1,3,4,1,0,0,2,0,0.06,0.18,Matches,4.4,55,69,108,0.04,0.11,0.15,0.04,0.15,0.06,0.12,0.18
24.1,DF,31,33,23,"2,168",1,0,1,1,0,0,1,0,0.03,0.04,Matches,1.0,12,57,4,0.04,0.00,0.04,0.04,0.04,0.03,0.02,0.04
21.8,DF,27,36,23,"1,959",4,5,9,4,0,0,3,1,0.15,0.41,Matches,8.9,60,55,169,0.18,0.23,0.41,0.18,0.41,0.15,0.26,0.41
17.6,MF,23,42,11,"1,580",8,5,13,8,0,0,3,0,0.53,0.75,Matches,11.5,38,56,61,0.46,0.28,0.74,0.46,0.74,0.53,0.22,0.75
13.0,DF,22,21,12,"1,166",2,0,2,2,0,0,3,0,0.08,0.14,Matches,1.6,29,42,25,0.15,0.00,0.15,0.15,0.15,0.08,0.05,0.14
12.5,FW,34,33,10,"1,125",4,5,9,2,2,2,0,0,0.24,0.55,Matches,6.6,17,67,78,0.32,0.40,0.72,0.16,0.56,0.37,0.31,0.68
12.1,FW,34,34,8,"1,093",7,3,10,7,0,0,0,0,0.72,0.95,Matches,10.5,15,21,95,0.58,0.25,0.82,0.58,0.82,0.72,0.23,0.95
