,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
3.7,MF,25,8,2,334,0,0,0,0,0,0,0,0,0.07,0.20,Matches,0.4,4,5,9,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.20
3.3,"MF,DF",25,8,3,294,0,1,1,0,0,0,1,0,0.00,0.00,Matches,0.0,1,2,4,0.00,0.31,0.31,0.00,0.31,0.00,0.00,0.00
3.2,FW,27,10,2,289,0,1,1,0,0,0,0,0,0.98,1.02,Matches,2.2,5,3,17,0.00,0.31,0.31,0.00,0.31,0.98,0.04,1.02
3.2,DF,18,8,3,286,0,0,0,0,0,0,1,0,0.06,0.06,Matches,0.1,0,4,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06
3.2,"FW,MF",23,9,2,285,2,0,2,2,0,0,2,0,0.36,0.40,Matches,1.3,10,4,21,0.63,0.00,0.63,0.63,0.63,0.36,0.04,0.40
2.2,"MF,DF",26,4,2,197,0,0,0,0,0,0,1,0,0.25,0.25,Matches,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25
1.2,DF,21,5,1,106,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.0,MF,25,3,1,94,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.0,DF,29,1,1,90,1,0,1,1,0,0,0,0,0.10,0.10,Matches,0.1,0,5,4,1.00,0.00,1.00,1.00,1.00,0.10,0.00,0.10
0.6,FW,21,6,0,57,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,3,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6,MF,24,5,0,56,0,0,0,0,0,0,0,0,0.00,0.17,Matches,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17
0.5,"DF,FW",17,4,0,43,0,0,0,0,0,0,1,0,0.34,0.34,Matches,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34
0.1,FW,34,1,0,13,0,0,0,0,0,0,0,0,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,,
0.1,GK,26,1,0,5,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0,FW,18,1,0,4,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,"FW,MF",28,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,17,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,24,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,FW,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
39.9,DF,27,40,40,"3,595",2,3,5,2,0,0,8,0,0.04,0.12,Matches,4.5,21,147,10,0.05,0.08,0.13,0.05,0.13,0.04,0.07,0.12
39.3,"DF,MF",23,41,41,"3,537",2,3,5,2,0,0,6,0,0.04,0.12,Matches,4.4,32,94,159,0.05,0.08,0.13,0.05,0.13,0.04,0.08,0.12
29.7,"FW,MF",31,37,31,"2,669",4,8,12,4,0,0,9,1,0.14,0.29,Matches,8.1,74,63,173,0.13,0.27,0.40,0.13,0.40,0.14,0.15,0.29
29.4,"MF,DF",28,31,30,"2,643",1,1,2,1,0,0,9,0,0.10,0.18,Matches,4.8,14,106,51,0.03,0.03,0.07,0.03,0.07,0.10,0.08,0.18
28.6,FW,26,39,28,"2,572",19,5,24,17,2,2,5,0,0.37,0.49,Matches,12.5,29,25,135,0.66,0.17,0.84,0.59,0.77,0.43,0.12,0.56
27.3,"DF,MF",23,30,27,"2,454",1,1,2,1,0,0,3,0,0.03,0.04,Matches,1.0,1,43,1,0.04,0.04,0.07,0.04,0.07,0.03,0.02,0.04
25.3,"MF,FW",25,31,26,"2,275",11,6,17,10,1,1,4,0,0.36,0.59,Matches,13.5,68,93,139,0.44,0.24,0.67,0.40,0.63,0.40,0.23,0.62
25.0,DF,23,29,25,"2,253",0,1,1,0,0,0,2,0,0.03,0.05,Matches,1.2,15,67,7,0.00,0.04,0.04,0.00,0.04,0.03,0.03,0.05
22.8,GK,30,23,22,"2,048",0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22.6,MF,28,33,24,"2,032",0,1,1,0,0,0,6,0,0.02,0.07,Matches,1.5,14,76,17,0.00,0.04,0.04,0.00,0.04,0.02,0.05,0.07
22.0,DF,33,26,23,"1,980",0,1,1,0,0,0,4,0,0.04,0.05,Matches,1.1,16,66,14,0.00,0.05,0.05,0.00,0.05,0.04,0.01,0.05
19.2,GK,26,20,20,"1,728",0,0,0,0,0,0,2,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.1,"FW,MF",25,33,19,"1,722",8,0,8,8,0,0,4,0,0.36,0.43,Matches,7.4,33,36,100,0.42,0.00,0.42,0.42,0.42,0.36,0.07,0.43
18.5,DF,32,23,18,"1,665",0,0,0,0,0,0,0,0,0.01,0.03,Matches,0.4,10,33,18,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03
17.8,"FW,MF",30,33,20,"1,606",2,3,5,2,0,0,1,0,0.12,0.27,Matches,4.1,20,33,52,0.11,0.17,0.28,0.11,0.28,0.12,0.15,0.27
16.0,"DF,MF",27,16,16,"1,439",0,4,4,0,0,0,4,0,0.08,0.23,Matches,3.7,25,38,80,0.00,0.25,0.25,0.00,0.25,0.08,0.15,0.23
14.4,MF,19,16,15,"1,297",0,3,3,0,0,0,2,0,0.02,0.19,Matches,2.8,14,79,10,0.00,0.21,0.21,0.00,0.21,0.02,0.17,0.19
14.2,"FW,MF",21,19,14,"1,275",10,6,16,9,1,1,0,0,0.33,0.74,Matches,10.5,68,78,134,0.71,0.42,1.13,0.64,1.06,0.39,0.41,0.80
10.9,MF,23,12,12,978,0,0,0,0,0,0,2,0,0.03,0.10,Matches,1.0,9,49,5,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10
5.0,"MF,FW",21,23,1,451,0,0,0,0,0,0,4,1,0.13,0.13,Matches,0.5,19,25,20,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.13
4.4,"MF,FW",26,12,4,395,0,0,0,0,0,0,0,0,0.01,0.01,Matches,0.0,3,10,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
3.7,"MF,FW",19,12,2,329,0,1,1,0,0,0,1,0,0.14,0.48,Matches,1.2,12,8,12,0.00,0.27,0.27,0.00,0.27,0.14,0.34,0.48
2.6,"MF,FW",20,8,2,235,0,0,0,0,0,0,0,0,0.28,0.38,Matches,0.6,7,2,18,0.00,0.00,0.00,0.00,0.00,0.28,0.10,0.38
2.1,"MF,DF",18,12,0,193,0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,2,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.0,DF,34,5,1,93,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.0,DF,27,1,1,90,0,0,0,0,0,0,1,0,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,,
0.0,GK,29,1,0,4,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,FW,20,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,"FW,MF",20,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,FW,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,FW,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
38.8,MF,24,39,39,"3,491",8,1,9,0,8,9,5,0,0.03,0.11,Matches,4.2,30,251,43,0.21,0.03,0.23,0.00,0.03,0.20,0.09,0.29
36.5,GK,22,37,37,"3,284",0,0,0,0,0,0,3,1,0.00,0.01,Matches,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
36.1,DF,19,38,35,"3,252",0,0,0,0,0,0,2,0,0.02,0.02,Matches,0.7,14,77,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02
34.7,FW,23,39,36,"3,126",13,2,15,13,0,0,4,0,0.35,0.39,Matches,12.9,27,34,157,0.37,0.06,0.43,0.37,0.43,0.35,0.04,0.39
31.4,"MF,FW",21,39,32,"2,830",4,6,10,4,0,0,2,0,0.12,0.31,Matches,9.1,75,73,180,0.13,0.19,0.32,0.13,0.32,0.12,0.18,0.31
30.3,MF,20,40,30,"2,730",4,1,5,4,0,0,3,1,0.10,0.13,Matches,3.6,47,81,68,0.13,0.03,0.16,0.13,0.16,0.10,0.03,0.13
26.4,DF,24,35,27,"2,377",0,2,2,0,0,0,4,1,0.03,0.11,Matches,2.7,40,80,56,0.00,0.08,0.08,0.00,0.08,0.03,0.09,0.11
24.7,"MF,FW",20,36,29,"2,221",1,4,5,1,0,0,4,0,0.05,0.16,Matches,3.6,59,41,145,0.04,0.16,0.20,0.04,0.20,0.05,0.11,0.16
21.5,"DF,MF",30,34,20,"1,932",0,0,0,0,0,0,3,0,0.03,0.09,Matches,1.8,42,72,64,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09
21.2,DF,28,27,22,"1,912",2,3,5,2,0,0,2,0,0.02,0.15,Matches,3.1,41,72,97,0.09,0.14,0.24,0.09,0.24,0.02,0.13,0.15
20.1,DF,22,25,20,"1,808",0,1,1,0,0,0,4,0,0.01,0.02,Matches,0.3,17,56,5,0.00,0.05,0.05,0.00,0.05,0.01,0.00,0.02
17.4,MF,23,30,15,"1,568",1,0,1,1,0,0,7,0,0.01,0.04,Matches,0.6,6,65,10,0.06,0.00,0.06,0.06,0.06,0.01,0.03,0.04
16.5,DF,32,19,17,"1,488",0,0,0,0,0,0,6,1,0.02,0.04,Matches,0.6,2,33,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04
16.5,"MF,FW",26,31,17,"1,484",2,2,4,2,0,0,1,0,0.21,0.39,Matches,5.3,32,52,88,0.12,0.12,0.24,0.12,0.24,0.21,0.18,0.39
13.2,FW,27,29,13,"1,185",4,0,4,4,0,0,4,0,0.45,0.46,Matches,4.8,12,20,46,0.30,0.00,0.30,0.30,0.30,0.45,0.01,0.46
12.9,"DF,MF",26,15,13,"1,163",1,0,1,1,0,0,6,0,0.06,0.06,Matches,0.8,7,29,1,0.08,0.00,0.08,0.08,0.08,0.06,0.00,0.06
10.7,"FW,MF",23,18,12,965,2,1,3,2,0,0,0,0,0.05,0.17,Matches,1.8,24,50,33,0.19,0.09,0.28,0.19,0.28,0.05,0.11,0.17
10.3,"DF,MF",20,23,9,928,1,0,1,1,0,0,1,0,0.15,0.16,Matches,1.3,13,15,29,0.10,0.00,0.10,0.10,0.10,0.15,0.02,0.16
10.2,DF,18,16,9,915,0,0,0,0,0,0,2,0,0.00,0.00,Matches,0.0,4,15,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.3,"FW,MF",26,22,9,747,0,1,1,0,0,0,5,1,0.06,0.11,Matches,0.8,7,21,36,0.00,0.12,0.12,0.00,0.12,0.06,0.05,0.11
7.2,"MF,FW",21,15,5,649,0,0,0,0,0,0,1,0,0.24,0.38,Matches,2.7,19,16,48,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.38
5.2,GK,32,6,5,469,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.3,FW,22,19,4,390,1,1,2,0,1,1,0,0,0.39,0.67,Matches,2.0,2,6,13,0.23,0.23,0.46,0.00,0.23,0.60,0.28,0.88
3.2,"MF,FW",22,8,3,284,1,1,2,1,0,0,1,0,0.01,0.01,Matches,0.0,0,0,5,0.32,0.32,0.63,0.32,0.63,0.01,0.00,0.01
1.8,"MF,FW",20,10,1,164,0,1,1,0,0,0,1,0,0.02,0.55,Matches,0.5,2,2,7,0.00,0.55,0.55,0.00,0.55,0.02,0.53,0.55
1.1,DF,21,2,1,98,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.0,DF,20,2,1,92,0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.8,MF,21,1,1,70,0,0,0,0,0,0,0,0,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,,
0.6,GK,25,1,0,57,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.5,FW,15,2,0,49,0,0,0,0,0,0,0,0,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,,
0.3,FW,19,3,0,25,0,0,0,0,0,0,0,0,0.59,0.59,Matches,0.2,0,1,1,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.59
0.2,MF,19,1,0,20,0,0,0,0,0,0,0,0,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,,
,GK,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
43.0,GK,18,43,43,"3,870",0,0,0,0,0,0,5,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42.5,DF,26,43,43,"3,825",3,0,3,3,0,0,7,1,0.04,0.07,Matches,2.9,5,108,12,0.07,0.00,0.07,0.07,0.07,0.04,0.03,0.07
38.1,FW,22,44,39,"3,433",19,4,23,17,2,4,6,0,0.38,0.44,Matches,15.6,38,41,204,0.50,0.10,0.60,0.45,0.55,0.47,0.07,0.53
36.4,DF,22,38,36,"3,279",1,1,2,1,0,0,8,1,0.04,0.06,Matches,2.0,20,166,18,0.03,0.03,0.05,0.03,0.05,0.04,0.02,0.06
35.9,MF,27,41,36,"3,227",7,6,13,2,5,6,9,0,0.07,0.16,Matches,5.3,21,176,85,0.20,0.17,0.36,0.06,0.22,0.19,0.09,0.28
35.6,DF,25,42,37,"3,203",2,5,7,2,0,0,8,0,0.07,0.18,Matches,5.9,61,137,198,0.06,0.14,0.20,0.06,0.20,0.07,0.11,0.18
29.3,MF,23,42,32,"2,636",1,4,5,1,0,0,3,0,0.04,0.11,Matches,2.9,16,102,56,0.03,0.14,0.17,0.03,0.17,0.04,0.06,0.11
25.7,"FW,MF",25,37,28,"2,312",1,4,5,1,0,0,12,0,0.07,0.21,Matches,5.3,90,93,168,0.04,0.16,0.19,0.04,0.19,0.07,0.15,0.21
23.3,DF,28,31,26,"2,095",1,1,2,1,0,0,4,0,0.06,0.10,Matches,2.2,34,104,123,0.04,0.04,0.09,0.04,0.09,0.07,0.03,0.10
22.6,DF,22,31,23,"2,037",1,2,3,1,0,0,7,0,0.03,0.08,Matches,1.8,21,84,20,0.04,0.09,0.13,0.04,0.13,0.03,0.05,0.08
20.6,MF,27,27,20,"1,855",0,1,1,0,0,0,7,0,0.08,0.12,Matches,2.2,18,170,24,0.00,0.05,0.05,0.00,0.05,0.08,0.04,0.12
19.1,MF,25,28,20,"1,715",1,1,2,1,0,0,6,0,0.08,0.26,Matches,4.8,26,135,52,0.05,0.05,0.10,0.05,0.10,0.08,0.18,0.26
18.5,"FW,MF",23,38,14,"1,663",6,2,8,6,0,0,7,0,0.19,0.27,Matches,5.0,38,36,142,0.32,0.11,0.43,0.32,0.43,0.19,0.09,0.27
16.7,"DF,FW",22,33,14,"1,500",0,3,3,0,0,0,3,0,0.06,0.24,Matches,3.5,41,65,69,0.00,0.18,0.18,0.00,0.18,0.06,0.19,0.24
16.5,DF,18,22,16,"1,482",2,0,2,2,0,0,6,1,0.07,0.10,Matches,1.3,26,40,15,0.12,0.00,0.12,0.12,0.12,0.07,0.03,0.10
15.9,"MF,FW",22,19,16,"1,431",4,2,6,4,0,0,1,0,0.08,0.20,Matches,3.0,80,57,107,0.25,0.13,0.38,0.25,0.38,0.08,0.12,0.20
11.8,"MF,FW",22,25,13,"1,064",1,3,4,1,0,0,1,0,0.11,0.31,Matches,3.2,17,47,63,0.08,0.25,0.34,0.08,0.34,0.11,0.20,0.31
8.8,"MF,FW",23,14,10,793,3,0,3,2,1,1,2,0,0.23,0.25,Matches,2.2,25,20,78,0.34,0.00,0.34,0.23,0.23,0.32,0.02,0.34
7.6,DF,19,11,8,680,0,0,0,0,0,0,1,0,0.00,0.01,Matches,0.1,6,15,10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
5.9,"MF,FW",24,13,5,527,0,0,0,0,0,0,0,0,0.06,0.22,Matches,1.3,10,18,31,0.00,0.00,0.00,0.00,0.00,0.06,0.16,0.22
5.1,"FW,MF",20,15,5,462,1,1,2,1,0,0,2,0,0.23,0.35,Matches,1.2,24,16,49,0.19,0.19,0.39,0.19,0.39,0.23,0.13,0.35
4.7,"FW,MF",23,15,4,421,1,0,1,1,0,0,0,0,0.13,0.17,Matches,0.8,18,8,65,0.21,0.00,0.21,0.21,0.21,0.13,0.04,0.17
4.3,"FW,MF",22,18,4,391,0,0,0,0,0,0,0,0,0.36,0.39,Matches,1.5,12,9,34,0.00,0.00,0.00,0.00,0.00,0.36,0.04,0.39
2.9,"MF,FW",21,13,1,263,2,0,2,2,0,0,1,0,0.31,0.69,Matches,1.1,1,12,12,0.68,0.00,0.68,0.68,0.68,0.34,0.38,0.72
2.0,GK,25,2,2,180,0,0,0,0,0,0,0,0,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,,
1.1,"FW,MF",22,8,0,101,0,1,1,0,0,0,2,0,0.12,0.71,Matches,0.8,10,9,12,0.00,0.89,0.89,0.00,0.89,0.12,0.59,0.71
0.6,"FW,MF",20,2,0,58,0,1,1,0,0,0,1,0,0.00,0.29,Matches,0.2,2,5,12,0.00,1.55,1.55,0.00,1.55,0.00,0.29,0.29
0.3,MF,18,1,0,24,0,0,0,0,0,0,0,0,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,,
0.1,FW,17,2,0,13,0,0,0,0,0,0,0,0,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,,
,DF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,20,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,22,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,21,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,GK,20,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
"4,104",de GER,"MF,DF",32,47,45,45.6,5,13,18,4,1,1,7,0.39,0.15,0.37,Matches,15.7,98,349,213,0.11,0.29,0.39,0.09,0.37,0.17,0.22
"3,655",eng ENG,DF,31,43,42,40.6,4,1,5,4,0,0,8,0.11,0.09,0.11,Matches,4.4,37,181,15,0.10,0.02,0.12,0.10,0.12,0.09,0.03
"3,353",nl NED,DF,23,39,37,37.3,0,2,2,0,0,0,9,0.09,0.05,0.09,Matches,3.0,36,207,10,0.00,0.05,0.05,0.00,0.05,0.05,0.04
"2,914",sct SCO,MF,22,41,32,32.4,0,2,2,0,0,0,8,0.11,0.04,0.11,Matches,3.3,49,232,46,0.00,0.06,0.06,0.00,0.06,0.04,0.07
"2,845",ci CIV,FW,21,40,32,31.6,7,3,10,7,0,0,3,0.37,0.20,0.37,Matches,11.4,137,67,335,0.22,0.09,0.32,0.22,0.32,0.20,0.17
"2,742",br BRA,"FW,MF",21,40,27,30.5,20,3,23,10,10,11,4,0.77,0.36,0.51,Matches,13.9,94,99,243,0.66,0.10,0.75,0.33,0.43,0.62,0.15
"2,430",nl NED,GK,20,27,27,27.0,0,0,0,0,0,0,3,0.00,0.00,0.00,Matches,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2,286",br BRA,DF,25,33,24,25.4,0,0,0,0,0,0,6,0.05,0.02,0.05,Matches,1.1,42,136,16,0.00,0.00,0.00,0.00,0.00,0.02,0.03
"2,083",eng ENG,"FW,MF",32,37,24,23.1,7,1,8,7,0,0,5,0.40,0.31,0.40,Matches,8.6,35,47,116,0.30,0.04,0.35,0.30,0.35,0.31,0.09
"2,070",eng ENG,GK,32,23,23,23.0,0,0,0,0,0,0,1,0.00,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2,062",jp JPN,FW,26,26,22,22.9,3,6,9,3,0,0,6,0.37,0.18,0.37,Matches,8.3,142,86,273,0.13,0.26,0.39,0.13,0.39,0.18,0.19
"1,965",nl NED,DF,31,33,21,21.8,1,1,2,1,0,0,6,0.06,0.02,0.06,Matches,1.4,27,105,62,0.05,0.05,0.09,0.05,0.09,0.02,0.04
"1,854",ar ARG,"FW,MF",18,36,23,20.6,4,1,5,4,0,0,8,0.25,0.15,0.25,Matches,4.4,30,58,87,0.19,0.05,0.24,0.19,0.24,0.15,0.10
"1,781",ec ECU,DF,25,27,21,19.8,3,4,7,3,0,0,7,0.30,0.06,0.30,Matches,4.7,53,98,98,0.15,0.20,0.35,0.15,0.35,0.06,0.24
"1,727",ie IRL,FW,18,36,18,19.2,6,1,7,6,0,0,2,0.31,0.28,0.31,Matches,5.5,14,15,72,0.31,0.05,0.36,0.31,0.36,0.28,0.03
"1,494",cm CMR,MF,19,37,16,16.6,0,0,0,0,0,0,8,0.07,0.05,0.07,Matches,1.1,20,50,11,0.00,0.00,0.00,0.00,0.00,0.05,0.02
"1,299",gh GHA,"DF,FW",22,25,14,14.4,0,3,3,0,0,0,5,0.15,0.04,0.15,Matches,1.9,51,25,83,0.00,0.21,0.21,0.00,0.21,0.04,0.10
"1,273",eng ENG,DF,28,18,14,14.1,0,0,0,0,0,0,3,0.05,0.03,0.05,Matches,0.6,16,80,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01
"1,214",eng ENG,DF,18,17,12,13.5,3,0,3,3,0,0,1,0.23,0.16,0.23,Matches,2.6,18,24,45,0.22,0.00,0.22,0.22,0.22,0.16,0.07
"1,000",es ESP,"MF,FW",20,27,9,11.1,4,1,5,4,0,0,3,0.57,0.45,0.57,Matches,5.6,23,43,88,0.36,0.09,0.45,0.36,0.45,0.45,0.12
959,eng ENG,"MF,FW",35,30,14,10.7,0,1,1,0,0,0,3,0.25,0.08,0.25,Matches,2.6,11,42,65,0.00,0.09,0.09,0.00,0.09,0.08,0.17
949,eng ENG,"DF,MF",37,20,14,10.5,0,2,2,0,0,0,3,0.20,0.03,0.20,Matches,2.2,12,78,84,0.00,0.19,0.19,0.00,0.19,0.03,0.17
764,eng ENG,"FW,DF",29,10,9,8.5,3,1,4,3,0,0,1,0.38,0.26,0.38,Matches,3.0,18,30,62,0.35,0.12,0.47,0.35,0.47,0.26,0.12
735,pl POL,"MF,DF",24,19,8,8.2,0,0,0,0,0,0,2,0.20,0.08,0.20,Matches,1.3,10,23,26,0.00,0.00,0.00,0.00,0.00,0.08,0.11
679,de GER,MF,27,14,9,7.5,0,1,1,0,0,0,1,0.17,0.03,0.17,Matches,1.2,4,18,7,0.00,0.13,0.13,0.00,0.13,0.03,0.14
593,py PAR,"MF,FW",19,15,7,6.6,0,2,2,0,0,0,2,0.50,0.23,0.50,Matches,3.2,34,23,33,0.00,0.30,0.30,0.00,0.30,0.23,0.27
318,ar ARG,"DF,FW",19,7,3,3.5,0,0,0,0,0,0,1,0.13,0.05,0.13,Matches,0.4,8,14,20,0.00,0.00,0.00,0.00,0.00,0.05,0.07
128,eng ENG,DF,20,4,1,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,Matches,0.0,9,4,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,ie IRL,FW,18,3,1,0.7,0,0,0,0,0,0,1,0.08,0.08,0.08,Matches,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00
61,eng ENG,"FW,DF",19,6,0,0.7,0,0,0,0,0,0,1,0.19,0.05,0.19,Matches,0.1,1,2,2,0.00,0.00,0.00,0.00,0.00,0.05,0.13
46,au AUS,MF,20,2,1,0.5,0,0,0,0,0,0,0,,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,
3,eng ENG,MF,18,1,0,0.0,0,0,0,0,0,0,0,2.32,2.32,2.32,Matches,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,2.32,0.00
1,eng ENG,MF,20,1,0,0.0,0,0,0,0,0,0,0,,,,Matches,,,,,0.00,0.00,0.00,0.00,0.00,,
,eng ENG,MF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,de GER,DF,18,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,eng ENG,DF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,tn TUN,MF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,eng ENG,DF,20,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,ie IRL,DF,19,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,co COL,MF,24,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,eng ENG,GK,23,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
41.4,DF,20,42,41,"3,727",1,0,1,1,0,0,5,0,0.03,0.04,Matches,1.5,24,109,1,0.02,0.00,0.02,0.02,0.02,0.03,0.01,0.04
39.4,FW,25,42,39,"3,544",21,4,25,19,2,3,5,0,0.47,0.55,Matches,20.3,52,60,184,0.53,0.10,0.63,0.48,0.58,0.53,0.08,0.61
36.0,MF,28,43,37,"3,240",1,5,6,1,0,0,6,0,0.07,0.24,Matches,7.7,60,167,78,0.03,0.14,0.17,0.03,0.17,0.07,0.17,0.24
35.6,MF,26,38,36,"3,200",0,3,3,0,0,0,6,1,0.01,0.15,Matches,4.6,22,142,15,0.00,0.08,0.08,0.00,0.08,0.01,0.14,0.15
32.0,GK,34,32,32,"2,880",0,0,0,0,0,0,5,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
